"ID" "word" "n" "tf" "idf" "tf_idf"
"75" 9 "aamirkhan" 1 0.166666666666667 5.78485029774498 0.96414171629083
"76" 9 "kedarnathnov" 1 0.166666666666667 7.57660976697304 1.26276829449551
"77" 9 "november" 1 0.166666666666667 6.47799747830493 1.07966624638415
"78" 9 "pointnov" 1 0.166666666666667 7.57660976697304 1.26276829449551
"79" 9 "studentoftheyearnov" 1 0.166666666666667 7.57660976697304 1.26276829449551
"80" 9 "thugsofhindostannov" 1 0.166666666666667 7.57660976697304 1.26276829449551
"81" 10 "akshaykumar" 1 0.0833333333333333 4.35773394210484 0.363144495175403
"82" 10 "awaited" 1 0.0833333333333333 7.57660976697304 0.631384147247753
"83" 10 "film" 1 0.0833333333333333 6.47799747830493 0.539833123192077
"84" 10 "going" 1 0.0833333333333333 5.09170311718504 0.424308593098753
