"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"—Primero ví la primera foto y dije... ¿Porqué se vistió así? Jajaja y después me acorde de este sketch de Miley hac… https://t.co/KcIwYsQkh1",FALSE,0,,2018-07-11 06:36:43,TRUE,,"1016934293623463936",,"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>","HechosMMCC",0,FALSE,FALSE,,
"RT @Fresh1027NY: Which do you wanna hear?!! RT for #MileyCyrus \"Party In The USA\", LIKE for #CamilaCabello \"Havana\"! ~@MikeAdamOnAir https:…",FALSE,0,,2018-07-11 06:29:07,FALSE,,"1016932379343097856",,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>","Dont_Worry_Mon",566,TRUE,FALSE,,
"RT @Fresh1027NY: Which do you wanna hear?!! RT for #MileyCyrus \"Party In The USA\", LIKE for #CamilaCabello \"Havana\"! ~@MikeAdamOnAir https:…",FALSE,0,,2018-07-11 06:26:01,FALSE,,"1016931600351858688",,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>","SmilerTan",566,TRUE,FALSE,,
"—Primero ví la primera foto y dije... ¿Porqué se vistió así? Jajaja y después me acorde de este sketch de Miley hac… https://t.co/m7uFwVNk6j",FALSE,0,,2018-07-11 06:22:48,TRUE,,"1016930788120637440",,"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>","HechosMMCC",0,FALSE,FALSE,,
"RT @Fresh1027NY: Which do you wanna hear?!! RT for #MileyCyrus \"Party In The USA\", LIKE for #CamilaCabello \"Havana\"! ~@MikeAdamOnAir https:…",FALSE,0,,2018-07-11 06:20:01,FALSE,,"1016930090066874368",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","JonasEkoto",566,TRUE,FALSE,,
"RT @Fresh1027NY: Which do you wanna hear?!! RT for #MileyCyrus \"Party In The USA\", LIKE for #CamilaCabello \"Havana\"! ~@MikeAdamOnAir https:…",FALSE,0,,2018-07-11 06:07:19,FALSE,,"1016926893558427648",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","itsBrandoLee",566,TRUE,FALSE,,
"RT @Fresh1027NY: Which do you wanna hear?!! RT for #MileyCyrus \"Party In The USA\", LIKE for #CamilaCabello \"Havana\"! ~@MikeAdamOnAir https:…",FALSE,0,,2018-07-11 06:06:47,FALSE,,"1016926760712261632",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","SmileyInspired",566,TRUE,FALSE,,
"RT @Fresh1027NY: Which do you wanna hear?!! RT for #MileyCyrus \"Party In The USA\", LIKE for #CamilaCabello \"Havana\"! ~@MikeAdamOnAir https:…",FALSE,0,,2018-07-11 06:06:09,FALSE,,"1016926600192028672",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","smilaycyrus",566,TRUE,FALSE,,
"RT @Fresh1027NY: Which do you wanna hear?!! RT for #MileyCyrus \"Party In The USA\", LIKE for #CamilaCabello \"Havana\"! ~@MikeAdamOnAir https:…",FALSE,0,,2018-07-11 06:05:16,FALSE,,"1016926378359476224",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","MilishCyrush",566,TRUE,FALSE,,
"RT @Fresh1027NY: Which do you wanna hear?!! RT for #MileyCyrus \"Party In The USA\", LIKE for #CamilaCabello \"Havana\"! ~@MikeAdamOnAir https:…",FALSE,0,,2018-07-11 06:04:42,FALSE,,"1016926235920920576",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","MileyCay",566,TRUE,FALSE,,
"RT @Fresh1027NY: Which do you wanna hear?!! RT for #MileyCyrus \"Party In The USA\", LIKE for #CamilaCabello \"Havana\"! ~@MikeAdamOnAir https:…",FALSE,0,,2018-07-11 06:03:52,FALSE,,"1016926026495135745",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","herbrth_adith",566,TRUE,FALSE,,
"RT @jessechambers: I totally agree. The double f**king standard lives in! Boys are ‘rebels’ &amp; girls are called ‘sluts.’ SO unfair!!! #Miley…",FALSE,0,,2018-07-11 06:03:37,FALSE,,"1016925963588980736",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","CondestMann",5,TRUE,FALSE,,
"RT @Fresh1027NY: Which do you wanna hear?!! RT for #MileyCyrus \"Party In The USA\", LIKE for #CamilaCabello \"Havana\"! ~@MikeAdamOnAir https:…",FALSE,0,,2018-07-11 06:03:26,FALSE,,"1016925916402941952",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","LoveSomeoneYN",566,TRUE,FALSE,,
"RT @Fresh1027NY: Which do you wanna hear?!! RT for #MileyCyrus \"Party In The USA\", LIKE for #CamilaCabello \"Havana\"! ~@MikeAdamOnAir https:…",FALSE,0,,2018-07-11 06:02:45,FALSE,,"1016925742544846848",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","ThinkinAllCyrus",566,TRUE,FALSE,,
"RT @Fresh1027NY: Which do you wanna hear?!! RT for #MileyCyrus \"Party In The USA\", LIKE for #CamilaCabello \"Havana\"! ~@MikeAdamOnAir https:…",FALSE,0,,2018-07-11 06:01:30,FALSE,,"1016925428727066624",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","CyrusMoodz",566,TRUE,FALSE,,
"RT @Fresh1027NY: Which do you wanna hear?!! RT for #MileyCyrus \"Party In The USA\", LIKE for #CamilaCabello \"Havana\"! ~@MikeAdamOnAir https:…",FALSE,0,,2018-07-11 06:00:14,FALSE,,"1016925111419588608",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","delano151",566,TRUE,FALSE,,
"RT @Fresh1027NY: Which do you wanna hear?!! RT for #MileyCyrus \"Party In The USA\", LIKE for #CamilaCabello \"Havana\"! ~@MikeAdamOnAir https:…",FALSE,0,,2018-07-11 05:54:55,FALSE,,"1016923773679931392",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Joseph__Cabello",566,TRUE,FALSE,,
"RT @MileyItaFan: Mi raccomando continuate a votare #Malibu come #BestPop (usate app per cambiare vpn) #MileyCyrus  https://t.co/mbeM1ZWm5a…",FALSE,0,,2018-07-11 05:49:40,FALSE,,"1016922452537077760",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","_silveerdreams",5,TRUE,FALSE,,
"RT @Fresh1027NY: Which do you wanna hear?!! RT for #MileyCyrus \"Party In The USA\", LIKE for #CamilaCabello \"Havana\"! ~@MikeAdamOnAir https:…",FALSE,0,,2018-07-11 05:49:35,FALSE,,"1016922428877008896",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","MileyIsInspired",566,TRUE,FALSE,,
"RT @PreviouslyMusik: #MileyCyrus

Recordemos uno de los últimos momentos mas especiales, @MileyCyrus.
<ed><U+00A0><U+00BD><ed><U+00B2><U+009A> #SeeYouAgain10YearAnniversary

<ed><U+00A0><U+00BC><ed><U+00BE><U+00A5>htt…",FALSE,0,,2018-07-11 05:48:56,FALSE,,"1016922265861189632",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","_silveerdreams",2,TRUE,FALSE,,
"RT @mcmylighter: I’m <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>...her voice evolution is incredible <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> @MileyCyrus #theclimb #mileycyrus https://t.co/kqH2SaGzjG",FALSE,0,,2018-07-11 05:47:41,FALSE,,"1016921953058394112",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","_silveerdreams",45,TRUE,FALSE,,
"RT @Fresh1027NY: Which do you wanna hear?!! RT for #MileyCyrus \"Party In The USA\", LIKE for #CamilaCabello \"Havana\"! ~@MikeAdamOnAir https:…",FALSE,0,,2018-07-11 05:46:25,FALSE,,"1016921632642863104",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","kcmstar3",566,TRUE,FALSE,,
"RT @Fresh1027NY: Which do you wanna hear?!! RT for #MileyCyrus \"Party In The USA\", LIKE for #CamilaCabello \"Havana\"! ~@MikeAdamOnAir https:…",FALSE,0,,2018-07-11 05:45:08,FALSE,,"1016921312084807680",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Perla_Sandoval4",566,TRUE,FALSE,,
"RT @jessechambers: I totally agree. The double f**king standard lives in! Boys are ‘rebels’ &amp; girls are called ‘sluts.’ SO unfair!!! #Miley…",FALSE,0,,2018-07-11 05:43:39,FALSE,,"1016920937554251777",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","mileyrecently",5,TRUE,FALSE,,
