ID,tweets
148,rich mamag modern art museumbbc breaking news bbcbreaking vogue elle nbc cnn
149, germany controlled russia foxnews 
150,qanon maga tcot bbcworld foxandfriends reuters bloomberg cnbc pjnet
151,bbcworld putin hrw cnn humanity justice case thaarjustice 
152, bbcworld putin hrw cnn humanity justice case thaarjustice 
153, post something fair everyone help ushelp helpbbcworld
154, dont country behind hungry child lurk corrupt criminal politicians 
155,rtbloombergcnbctcothardballinnersmaddowfoxandfriendsbbcworldreuterscnnmaddowmorningjoeqanon 
156,bloombergcnbctcothardballinnersmaddowfoxandfriendsbbcworldreuterscnnmaddowmorningjoeqanon
157,putin hrw bbcworld cnn humanity justice case thaarjustice 
158,rtthe united nations playground third world nothing political hacks america must reevaluate membership mor 
159, united nations playground third world nothing political hacks america must reevaluate membership 
160, united nations playground third world nothing political hacks america must tryevaluate membership 
161, humanity justice case thaarjustice cases share bbcworld putin crime 
162,rtboth sides lens worldcup behindthescenes bbcworld
163,rtboth sides lens worldcup behindthescenes bbcworld
164,bbcworld putin hrw cnn humanity justice case thaarjustice 
165,rtmh netherlands auspol ukraine russia us cnn nytimes guardian thelondontimes channelnews bbcworld dsbmhjit 
166, bbcworld putin hrw cnn humanity justice case thaarjustice 
167,rtmh netherlands auspol ukraine russia us cnn nytimes guardian thelondontimes channelnews bbcworld dsbmhjit 
168,breaking miraclebravery thai rescue mission boys soccer coach thai cave foxandfriendsmaga 
169,zdf positive image pop invintagestylebbc news world bbcworlddesign
170,mh netherlands auspol ukraine russia us cnn nytimes guardian thelondontimes channelnews bbcworld 
171,miuccia patrizio beelli prada ntv bbc zdf positive image pop tanja playner im vintagestyle 
172,bern zürich times zdf positive image pop vintagestyle bbc news world bbcworld
173, israeli man honeymoon killed wife seriously injured freak accident involving zip line 
174,bbcworld chinese foreign secretary announced liuxia left china travel germany says stephenmcdonell
175,breaking three boys freed thai cavemembers football team still trapped tcotmagapjnet 
176, sides lens worldcup behindthescenes bbcworld
177,rtthai cave rescue world holds breath divers begin mission save lasttrapped boys coach foxandfriends qanon 
178,thai cave rescue world holds breath divers begin mission save lasttrapped boys coach 
179, germany controlled russia foxnews 
180,qanon maga tcot bbcworld foxandfriends reuters bloomberg cnbc pjnet
181,bbcworld putin hrw cnn humanity justice case thaarjustice 
182, bbcworld putin hrw cnn humanity justice case thaarjustice 
183, post something fair everyone help ushelp helpbbcworld
184, dont country behind hungry child lurk corrupt criminal politicians 
185,rtbloombergcnbctcothardballinnersmaddowfoxandfriendsbbcworldreuterscnnmaddowmorningjoeqanon 
